Datetime,Tweet Id,Text,Username
2022-10-19 21:28:31+00:00,1582846177930022913,"@Barbara40997865 @kose_ewa @trzaskowski_ @warszawa To ma być wytłumaczenie? Jak wszędzie? Wszędzie tam gdzie jest PO. 
Francja, Włochy czy Niemcy nie tracą pieniędzy na takie kiczowate straszydła. Może już dość tego budowlanego partactwa Trzaskowskiego i jemu podobnych? Ci ludzie mają ciasne umysły i ograniczone horyzonty.",KaszubzKaszub
2022-10-19 21:25:59+00:00,1582845541779931136,"@MichalSzczerba @warszawa @trzaskowski_ @GazetaStoleczna @tvnwarszawa @PORP_Warszawa @1944pl @muzeumwarszawy @EDGrupinska @BurmistrzHac @budziszewski_ Dajcie tej starszej zasłużonej Pani już spokój. Wozicie ją jak małpkę, nie macie honoru",SwiderskiSwider
2022-10-19 21:24:35+00:00,1582845190318194688,@trzaskowski_ @warszawa Cześć Jej pamieci,donald_tasak
2022-10-19 21:24:28+00:00,1582845159766519811,"@j_luckmann @schnellenbachj Und Polen nennt Warschau eher Warszawa, Mailand heißt eigentlich Milano, Moskau heißt Moskwa ... 

Den Namen einer Stadt aus politischer Solidarität zu ändern ist so sinnvoll wie ""Freedom Fries"" usf. 🤔",AspyrexGbr
2022-10-19 21:23:17+00:00,1582844863392849920,#szaryczłowiek #Warszawa https://t.co/rheJ7iPG45,c_grabarczyk
2022-10-19 21:21:20+00:00,1582844371179024384,@AnnaZalewskaMEP @ecrgroup @pisorgpl @FMPiS_Oficjalny @WroclawFMPiS @PiSForumMlodych @FM_PiS_Warszawa @RadioOpole @prwpl @RadioRodzina @FMPiSOpole Chciałem być dobrym człowiekiem i pokazałem to jednej tirowce na trasie. Parsknęla i stwierdziła ze ma swoją godność.,DominikKujawa4
2022-10-19 21:20:24+00:00,1582844137875050496,"✅ CZWARTEK
✅ PIĄTEK
✅ SOBOTA

Warszawo, w tym tygodniu również zapraszamy do Panoramy, gdzie w tym tygodniu spotka się z Wami niezawodna @EdytaPytlinska i pomoże wybrać jedną z kilkuset dostępnych koszulek! 🙌

📍 Warszawa, Aleja Witosa 31, lok. 135 https://t.co/gnegcMwCk9",KLASYKASTORE
2022-10-19 21:18:15+00:00,1582843596213956608,"@OlechowskiJarek @tvp_info @tvn24 Tak jak w aferze mieszkaniowej w Warszawie - nic nie było,nic się nie stało - tylko jedną osobę zamordowano i kilka tysięcy wyrzucono na bruk a to tylko Warszawa. Co na to śledczy Holms z inowrocławia?",Wojciec37904420
2022-10-19 21:15:11+00:00,1582842823505649664,"@Warszawski_AS @TytusKiszka @jarek_osowski @warszawa Z tego co zrozumiałam tempo 30 będzie obowiązywało na drobnych uliczkach, co wraz budynkami i parkami daje 90,6% powierzchni Warszawy. A nic się nie zmieni na wszystkich zwykłych jezdniach, przez które strach przejść. I są bardzo głośne. To ta gęsta biała siatka na mapie, tak? https://t.co/OAn9THZ9SE",AgataKowalskaTT
2022-10-19 21:09:35+00:00,1582841413410357248,"Pojawił się wpis dla Human4human Recruitment w https://t.co/5IpZP0an0G:

💶 Baza: 21 350 PLN/mies netto
+ ✨ Premia: 2 010 PLN/mies brutto

Embedded Software Engineer w Warszawa - umowa o pracę tymczasową
#human4humanrecruitment #warszawa #embeddedsoftwareengineer",zarobky_pl
2022-10-19 21:08:54+00:00,1582841242911903744,Saturday photo dump #Warsaw #Poland 🇵🇱 #Warszawa #fallfoliage https://t.co/7oWoqqm0T6,JosephStec
2022-10-19 21:05:52+00:00,1582840476574441477,"@Warszawski_AS @TytusKiszka @jarek_osowski @warszawa Jak zwykle nic nie rozumiem z tych map. I będzie jak z tramwajem. Tj. narzekanie, że mieszkańcy za późno się skarżą, a przecież ""wszystko było w projekcie"".",AgataKowalskaTT
2022-10-19 21:05:25+00:00,1582840363697381382,"@Marek_R_Krupski @ljporebski @ZDM_Warszawa @marta_ewa_sz @MiastoJestNasze Dlatego, że cenię zdrowie ponad udowodnienie komuś, że mogę jechać po dwupasmowej ulicy w Warszawie? To po prostu instynkt samozachowawczy. Może jak wprowadzą tam Tempo 30, to się tak przejadę, na tą chwilę IMHO to proszenie się o kłopoty w imię ideologii, a chodnik wolny.",sidd_2017
2022-10-19 21:02:37+00:00,1582839659368878080,@trzaskowski_ @warszawa ) + k,JZienkowski
2022-10-19 21:01:16+00:00,1582839322814074880,"@trzaskowski_ @warszawa ,,powstańczyni,,? Pańskie ideologiczne wazeliniarstwo przekracza granice dobrego smaku. 😂",CiszewskiW
2022-10-19 21:00:00+00:00,1582839000976326656,"#Warszawa #Bemowo 2022-10-19 23:00
 Temp: 5.9°C Wilg: 84% Ciśn: 1025.6 hPa
 PM 2.5: 2.8 μg/m³ (11% normy)
 PM 10: 7.6 μg/m³ (15% normy)
 #smog
https://t.co/0qhOrlum2f",PowietrzeBemowo
2022-10-19 20:58:55+00:00,1582838728967720961,Halo halo! Kochana @warszawa @projektwarszawa @LegiaWarszawa @warszawa czy możecie Państwo pomóc? Zima idzie i wsparcie potrzebne. https://t.co/Czo25uKjLR,MartaWitecka1
2022-10-19 20:56:39+00:00,1582838161147035648,"@ljporebski @po_prostu_karol @ZDM_Warszawa @marta_ewa_sz @MiastoJestNasze Zdecydowanie chodnikiem, przecież tam prawie nikogo nie ma.",TPomianowski
2022-10-19 20:56:09+00:00,1582838031702106113,@KaszubzKaszub @kose_ewa @trzaskowski_ @warszawa Jak wszędzie.,Barbara40997865
2022-10-19 20:55:27+00:00,1582837857152290816,"@ipuljic57 Pojam političko Sarajevo se koristi za dehumanizaciju i demonizaciju Bošnjačkog/Bosanskog političkog djelovanja. Ravan je pojmu ""politički Dachau"" ili ""politička Warszawa"" 1940-ih. Maliciozno!!!!!",Beno64416011
